Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Pillsbury,"Gold Atta - 100% MP Sharbati Wheat, 12-Hour Softness, High Fibre Atta",2 x 5 kg - Multipack,₹538,₹702,No Product Sale Price,23% OFF
BB Royal,Dry Coconut/Gadi/Gola,500 g,₹182,₹250,Get it for ₹172.90!,27% OFF
BB Royal,Coconut Powder - Desiccated,500 g,₹174,₹250,Get it for ₹165.30!,30% OFF
BB Royal,Corn Flour/ Starch,500 g - Pouch,₹37,₹50,Get it for ₹35.15!,26% OFF
24 Mantra Organic,Groundnut Oil,3x1 L - Multipack,₹1262.25,₹1485,No Product Sale Price,15% OFF
BB Popular,Ajwain/Om Kalu Whole,50 g,₹20,₹25,No Product Sale Price,20% OFF
Organic Tattva,Organic Suji,500 g - Pouch,₹30,₹60,Get it for ₹28.50!,50% OFF
BB Royal,Moth/Patanga Huruli - Whole,500 g - Pouch,₹68,₹100,Get it for ₹64.60!,32% OFF
Organic Tattva,Organic Seeds - Black Mustard/Sasive,100 g - Pouch,₹24,₹40,Get it for ₹22.80!,40% OFF
24 Mantra Organic,Sonamasuri Rice,3x5 kg - Multipack,₹1188,₹1650,No Product Sale Price,28% OFF
Fortune,Basmati Rice/Basmati Akki - Rozana,1 kg - Pouch,₹96,₹130,Get it for ₹91.20!,26% OFF
Organic Tattva,"Jaggery Powder - Rich In Nutrition, No Transfat",1 kg,₹140,₹175,Get it for ₹133!,20% OFF
BB Super Saver,Chana Dal,1 kg,₹91.56,₹110,Har Din Sasta!,17% OFF
Tata Sampann,"100% Pure Premium Raisins Seedless - Premium Quality Kishmish, Source Of Potassium, Premium Dry Fruits",500 g - Pouch,₹236.44,₹257,Get it for ₹224.62!,₹21 OFF
Happilo,Premium Natural Californian Almonds,2x200 g - Multipack,₹475.76,₹550,No Product Sale Price,14% OFF
BB Royal,Organic - Jowar/Sorghum Millet,1 kg,₹86,₹110,Get it for ₹81.70!,22% OFF
Happilo,"Cashews - Whole, 100% Natural Premium",2x200 g - Multipack,₹569.5,₹670,No Product Sale Price,15% OFF
BB Royal,Fennel/Saunf/Sompu - Small,200 g,₹118,₹180,Get it for ₹112.10!,34% OFF
Tata Sampann,"Garam Masala - With Natural Oils, Crafted By Chef Sanjeev Kapoor",100 g,₹91.52,₹104,No Product Sale Price,12% OFF
